期間,進場方式,股票代號,名稱,買進日,賣出日,買進價,賣出價,損益%,損益金額,持有天數,出場原因
全期間2021-2026,一次買完,2356,英業達,2022-05-09,2022-05-12,21.37,20.83,-3.1,-7763.05,3,積分轉負
全期間2021-2026,一次買完,3443,創意,2022-05-09,2022-05-19,443.03,520.04,16.68,19626.44,10,15%停利
全期間2021-2026,一次買完,2356,英業達,2022-05-16,2022-05-23,21.87,21.16,-3.79,-6741.42,7,積分轉負
全期間2021-2026,一次買完,6515,穎崴,2022-05-16,2022-05-24,336.86,319.13,-5.83,-4936.63,8,積分轉負
全期間2021-2026,一次買完,2303,聯電,2022-05-16,2022-05-24,37.88,37.54,-1.5,-1628.71,8,積分轉負
全期間2021-2026,一次買完,2353,宏碁,2022-05-16,2022-05-24,22.21,21.12,-5.45,-7971.84,8,積分轉負
全期間2021-2026,一次買完,6770,未知,2022-05-16,2022-05-26,55.82,54.07,-3.71,-4665.29,10,積分轉負
全期間2021-2026,一次買完,2317,鴻海,2022-05-16,2022-06-13,86.61,92.41,6.06,14052.86,28,積分轉負
全期間2021-2026,一次買完,3017,奇鋐,2022-05-23,2022-06-01,103.14,103.6,-0.15,-392.59,9,積分轉負
全期間2021-2026,一次買完,4958,未知,2022-05-23,2022-06-07,90.99,98.5,7.61,4117.72,15,積分轉負
全期間2021-2026,一次買完,3680,未知,2022-05-30,2022-06-13,232.51,219.37,-6.22,-12011.82,14,積分轉負
全期間2021-2026,一次買完,3711,日月光投控,2022-05-30,2022-06-14,81.67,80.88,-1.56,-3951.36,15,積分轉負
全期間2021-2026,一次買完,3105,穩懋,2022-06-06,2022-06-09,215.62,207.33,-4.42,-7467.24,3,積分轉負
全期間2021-2026,一次買完,3374,未知,2022-06-06,2022-06-15,135.41,128.87,-5.4,-4587.47,9,積分轉負
全期間2021-2026,一次買完,8114,未知,2022-06-13,2022-06-16,114.43,99.31,-13.73,-4734.21,3,觸發停損
全期間2021-2026,一次買完,2404,未知,2022-06-13,2022-06-17,139.77,137.51,-2.21,-13532.74,4,積分轉負
全期間2021-2026,一次買完,1503,未知,2022-06-20,2022-06-30,54.27,55.9,2.38,6997.88,10,積分轉負
全期間2021-2026,一次買完,2412,未知,2022-06-20,2022-07-11,103.38,106.3,2.22,14715.06,21,積分轉負
全期間2021-2026,一次買完,6206,未知,2022-07-04,2022-07-11,69.54,69.62,-0.49,-24.14,7,積分轉負
全期間2021-2026,一次買完,4979,未知,2022-07-04,2022-07-15,24.92,25.31,0.94,1041.54,11,觸發停損
全期間2021-2026,一次買完,1513,未知,2022-07-04,2022-07-18,47.37,46.52,-2.39,-2645.76,14,積分轉負
全期間2021-2026,一次買完,8114,未知,2022-07-04,2022-07-20,112.94,113.78,0.15,108.19,16,積分轉負
全期間2021-2026,一次買完,2357,華碩,2022-07-11,2022-07-18,220.88,220.17,-0.92,-2150.62,7,積分轉負
全期間2021-2026,一次買完,2313,華通,2022-07-11,2022-07-25,38.53,42.92,10.72,16673.17,14,積分轉負
全期間2021-2026,一次買完,6282,康舒,2022-07-11,2022-07-26,27.76,27.67,-0.93,-1634.98,15,積分轉負
全期間2021-2026,一次買完,3231,緯創,2022-07-11,2022-08-10,21.72,25.0,14.44,17044.95,30,15%停利
全期間2021-2026,一次買完,3017,奇鋐,2022-07-18,2022-08-02,95.77,105.9,9.92,23688.38,15,積分轉負
全期間2021-2026,一次買完,6285,未知,2022-07-18,2022-08-15,61.68,69.4,11.84,25223.67,28,積分轉負
全期間2021-2026,一次買完,2492,未知,2022-07-25,2022-08-02,89.68,84.4,-6.45,-2088.47,8,積分轉負
全期間2021-2026,一次買完,3380,明泰,2022-07-25,2022-09-14,27.6,29.78,7.26,15515.36,51,觸發停損
